image_id,crop,class,glcm_contrast,glcm_homogeneity,entropy,hue_mean,saturation_mean,value_mean,edge_density,vegetation_index,texture_energy,shape_factor,moisture_proxy,label
SIM_05441,Crop01,Class07,19.9751,0.3415,5.1867,68.6696,123.7676,146.4168,0.1121,-0.1511,0.2759,0.3772,0.2857,Class07
SIM_05442,Crop05,Class06,32.6934,0.5834,5.5617,30.0966,100.4492,179.654,0.0845,-0.2113,0.2781,0.8011,0.4957,Class06
SIM_05443,Crop09,Class13,22.2984,0.4386,6.4408,38.9039,150.5756,121.7351,0.123,-0.4297,0.254,0.42,0.5797,Class13
SIM_05444,Crop07,Class14,20.7141,0.4982,5.7073,93.9457,158.6828,163.7488,0.0639,-0.0392,0.3353,0.4835,0.5771,Class14
SIM_05445,Crop02,Class04,22.0358,0.566,5.7177,58.5874,160.411,144.102,0.0931,-0.176,0.3681,0.8277,0.3407,Class04
SIM_05446,Crop03,Class06,27.4193,0.4972,6.05,107.7055,87.3469,129.0484,0.0773,0.0127,0.2823,0.5968,0.763,Class06
SIM_05447,Crop09,Class07,18.8638,0.3068,5.0039,124.1828,86.2714,145.3559,0.1193,-0.1922,0.2164,0.4315,0.3324,Class07
SIM_05448,Crop10,Class13,31.9051,0.2916,5.9574,26.0847,180.1585,149.2409,0.0902,-0.3132,0.2005,0.6411,0.7316,Class13
SIM_05449,Crop08,Class11,18.2332,0.3712,5.6286,125.855,117.1059,213.4499,0.0981,0.2146,0.2566,0.7735,0.4572,Class11
SIM_05450,Crop01,Class09,10.1209,0.4957,4.9816,102.1972,147.5891,121.7941,0.0933,0.1297,0.3524,0.2963,0.1817,Class09
SIM_05451,Crop07,Class04,19.6996,0.563,5.1424,64.229,165.2984,112.7505,0.1155,-0.272,0.3085,0.8397,0.5487,Class04
SIM_05452,Crop09,Class06,21.6207,0.3025,5.7417,62.3057,76.6898,151.0868,0.0703,-0.1697,0.3552,0.6225,0.3468,Class06
SIM_05453,Crop07,Class01,27.2954,0.5492,6.6432,134.1555,127.8088,190.8406,0.1229,0.2598,0.1278,0.615,0.3975,Class01
SIM_05454,Crop06,Class11,16.1875,0.3582,5.5332,125.915,97.3195,207.0741,0.0775,0.0956,0.2566,0.5324,0.553,Class11
SIM_05455,Crop05,Class14,21.4809,0.5258,5.6775,48.833,149.5979,186.9255,0.038,-0.0125,0.2522,0.4607,0.4755,Class14
SIM_05456,Crop03,Class12,26.8228,0.328,6.0419,82.3622,116.5316,117.1225,0.0683,-0.3817,0.1809,0.3808,0.7132,Class12
SIM_05457,Crop03,Class05,32.5657,0.6117,5.1408,82.5238,134.2739,97.8788,0.0728,-0.3756,0.3329,0.7522,0.7698,Class05
SIM_05458,Crop08,Class08,28.0001,0.4694,6.1109,140.1183,125.3233,184.6558,0.0367,-0.246,0.2027,0.6906,0.4717,Class08
SIM_05459,Crop01,Class15,14.4986,0.5745,5.7057,112.3117,181.6023,173.4958,0.0575,0.0885,0.2191,0.2226,0.5588,Class15
SIM_05460,Crop01,Class07,22.8115,0.5109,4.8224,92.1894,133.1811,160.1516,0.108,-0.3774,0.2456,0.3724,0.1916,Class07
SIM_05461,Crop04,Class13,13.3207,0.3752,6.3544,70.4036,184.8791,135.4184,0.0852,-0.3189,0.1877,0.669,0.6679,Class13
SIM_05462,Crop08,Class09,13.9256,0.3304,5.0381,139.8484,172.2475,161.4843,0.0725,0.3401,0.234,0.643,0.3341,Class09
SIM_05463,Crop07,Class08,21.6549,0.4739,6.4683,141.6486,144.3782,190.4704,0.0918,-0.4472,0.1699,0.828,0.6657,Class08
SIM_05464,Crop06,Class09,10.3719,0.4434,5.2432,135.9237,132.1452,191.9982,0.0719,0.0409,0.2346,0.3397,0.2153,Class09
SIM_05465,Crop06,Class04,11.2205,0.4833,5.061,81.1422,152.1681,168.712,0.0792,0.1523,0.3426,0.5877,0.2765,Class04
SIM_05466,Crop02,Class07,26.8068,0.4056,4.9895,99.4433,143.8085,200.5176,0.0996,-0.2731,0.1898,0.4176,0.2891,Class07
SIM_05467,Crop04,Class05,19.2014,0.5533,5.6251,117.8035,164.6077,108.4341,0.0299,-0.3832,0.2582,0.7549,0.5934,Class05
SIM_05468,Crop01,Class12,21.4923,0.3433,6.4508,52.0793,150.9744,120.4412,0.0417,-0.34,0.2817,0.3276,0.587,Class12
SIM_05469,Crop08,Class10,28.5824,0.6033,6.4096,80.9304,201.3894,176.5491,0.0933,-0.1417,0.2532,0.3893,0.7117,Class10
SIM_05470,Crop08,Class06,22.2594,0.3431,5.8602,62.367,116.0523,158.4783,0.0452,-0.2122,0.3401,0.7848,0.5311,Class06
SIM_05471,Crop03,Class13,16.5825,0.4655,5.0691,36.1676,148.1044,133.7388,0.1251,-0.4556,0.168,0.6543,0.7877,Class13
SIM_05472,Crop03,Class07,18.5433,0.436,4.4088,137.8525,89.8702,158.4302,0.1268,-0.2982,0.0897,0.5171,0.4999,Class07
SIM_05473,Crop04,Class15,8.3101,0.396,5.9841,145.8739,135.9098,156.603,0.0291,0.227,0.1437,0.3876,0.4483,Class15
SIM_05474,Crop09,Class10,37.2214,0.5282,6.8243,114.5663,183.5763,173.022,0.1112,-0.1433,0.3064,0.3087,0.5775,Class10
SIM_05475,Crop05,Class14,21.9659,0.611,5.9245,43.9806,141.0417,163.4572,0.0522,0.1142,0.2336,0.4557,0.6041,Class14
SIM_05476,Crop08,Class15,11.1438,0.481,5.787,142.1278,193.674,178.4814,0.0363,0.2518,0.2407,0.3566,0.5164,Class15
SIM_05477,Crop05,Class05,31.9128,0.6494,5.4606,46.4095,180.9706,128.0437,0.0555,-0.2922,0.289,0.8509,0.6438,Class05
SIM_05478,Crop07,Class04,17.3056,0.5059,5.0576,63.6958,144.0431,121.1712,0.1169,-0.3362,0.328,0.819,0.5522,Class04
SIM_05479,Crop06,Class13,22.8053,0.4138,6.0743,52.5784,166.0735,162.6204,0.0868,-0.3598,0.2921,0.5032,0.6487,Class13
SIM_05480,Crop03,Class04,11.2759,0.4429,4.6892,60.8475,122.1321,114.0676,0.1282,0.0191,0.3411,0.6952,0.3928,Class04
SIM_05481,Crop09,Class12,23.6412,0.2545,5.9507,66.4422,127.1341,102.7895,0.0713,-0.3139,0.2972,0.4188,0.6006,Class12
SIM_05482,Crop08,Class03,31.3839,0.5879,6.3093,58.066,181.8851,121.5601,0.0472,0.2964,0.2681,0.8629,0.3365,Class03
SIM_05483,Crop08,Class14,18.213,0.4486,5.2649,63.7088,132.0725,134.6851,0.0337,0.1019,0.3553,0.485,0.3305,Class14
SIM_05484,Crop10,Class11,23.7214,0.2915,5.068,47.4925,100.5397,177.2981,0.1103,0.2229,0.1438,0.6612,0.6099,Class11
SIM_05485,Crop03,Class08,26.2577,0.5093,6.5666,137.1697,104.7336,150.7581,0.0817,-0.3536,0.1505,0.5087,0.5911,Class08
SIM_05486,Crop01,Class07,27.7775,0.3653,5.3485,61.1128,123.0742,128.3209,0.1257,-0.1986,0.1986,0.5366,0.1645,Class07
SIM_05487,Crop06,Class10,29.5231,0.6549,6.3919,89.4686,171.524,201.9885,0.0875,-0.1119,0.3166,0.2357,0.7367,Class10
SIM_05488,Crop04,Class06,29.1775,0.3542,6.4005,94.9346,111.8465,127.5011,0.0581,-0.2261,0.3034,0.7778,0.2963,Class06
SIM_05489,Crop05,Class06,22.0563,0.4595,5.9801,36.3231,125.624,186.6048,0.0913,-0.2067,0.2207,0.8071,0.543,Class06
SIM_05490,Crop03,Class04,11.7692,0.4305,5.3344,106.7486,140.2407,122.7082,0.097,-0.05,0.3086,0.6282,0.5806,Class04
SIM_05491,Crop04,Class03,28.6845,0.595,6.9879,95.4014,123.518,110.3157,0.038,-0.0647,0.2439,0.9171,0.4222,Class03
SIM_05492,Crop04,Class14,17.4106,0.2932,6.1651,135.0543,166.3233,128.5498,0.0319,0.0183,0.334,0.3978,0.3523,Class14
SIM_05493,Crop04,Class12,21.5866,0.2532,6.2353,55.1413,177.6164,131.3986,0.0303,-0.4313,0.2057,0.4395,0.5918,Class12
SIM_05494,Crop08,Class07,17.8639,0.3379,5.2107,129.2001,105.5517,144.7977,0.0799,-0.2797,0.2384,0.6731,0.4221,Class07
SIM_05495,Crop06,Class13,16.7524,0.3507,6.0415,83.6294,187.7077,183.0737,0.093,-0.3382,0.2796,0.5348,0.7457,Class13
SIM_05496,Crop05,Class10,30.5542,0.6734,6.9965,29.8112,177.8748,215.179,0.1057,-0.213,0.1878,0.4285,0.7106,Class10
SIM_05497,Crop02,Class09,8.7617,0.6024,5.8671,130.1129,159.1357,172.4707,0.0625,0.0194,0.2931,0.3061,0.4118,Class09
SIM_05498,Crop06,Class02,32.1905,0.6203,6.7708,114.6243,111.9877,172.3562,0.0237,0.2474,0.3086,0.683,0.3207,Class02
SIM_05499,Crop02,Class09,18.9201,0.406,6.2022,121.4147,168.8586,190.3772,0.0485,0.1943,0.2885,0.5605,0.2747,Class09
SIM_05500,Crop04,Class02,29.9619,0.4236,6.6281,114.3647,123.1262,157.7128,0.0238,0.1268,0.2412,0.5962,0.3773,Class02
SIM_05501,Crop05,Class11,20.8243,0.3862,6.0154,62.9675,113.521,173.9461,0.1129,0.1403,0.1199,0.6948,0.5348,Class11
SIM_05502,Crop02,Class02,31.5603,0.5828,6.9435,130.4516,137.1922,192.1325,0.0514,-0.0565,0.3344,0.6409,0.3848,Class02
SIM_05503,Crop04,Class08,27.407,0.4086,6.9944,109.8338,135.9579,176.3614,0.0194,-0.3616,0.0736,0.7594,0.3984,Class08
SIM_05504,Crop03,Class06,22.3764,0.5028,6.446,69.1317,82.3484,187.1863,0.0979,0.0402,0.2071,0.4756,0.581,Class06
SIM_05505,Crop09,Class02,29.8106,0.4168,6.6297,71.4781,97.3473,136.6021,0.0291,0.0585,0.3242,0.7384,0.273,Class02
SIM_05506,Crop09,Class08,27.5205,0.4658,6.4642,136.6894,125.5773,183.3413,0.0608,-0.4279,0.1496,0.7302,0.2566,Class08
SIM_05507,Crop01,Class04,16.4082,0.5708,5.1708,40.777,139.4808,118.3448,0.0821,-0.2378,0.39,0.6336,0.2297,Class04
SIM_05508,Crop07,Class04,18.9989,0.5147,5.1236,57.074,147.4756,108.4004,0.1285,-0.118,0.3609,0.84,0.5203,Class04
SIM_05509,Crop07,Class14,14.2156,0.5944,5.8821,79.0952,168.2196,154.4626,0.0528,0.1009,0.3103,0.4098,0.7037,Class14
SIM_05510,Crop04,Class06,19.2903,0.4218,6.4168,67.0859,121.1101,127.7877,0.0568,-0.0462,0.323,0.7505,0.2407,Class06
SIM_05511,Crop05,Class07,22.5156,0.5148,4.8715,46.2368,128.2528,188.9921,0.1102,-0.407,0.1075,0.5369,0.4141,Class07
SIM_05512,Crop08,Class01,24.5313,0.4545,7.0571,118.6541,121.5429,209.5721,0.0794,0.3162,0.1414,0.5412,0.3415,Class01
SIM_05513,Crop04,Class05,23.5809,0.5031,5.5176,106.7989,156.4167,112.1263,0.0418,-0.2903,0.251,0.6674,0.5625,Class05
SIM_05514,Crop01,Class06,33.271,0.5121,6.3776,38.9545,118.3195,158.4264,0.0771,0.02,0.3864,0.4663,0.3859,Class06
SIM_05515,Crop04,Class11,13.7844,0.2945,5.7732,140.4362,106.8291,181.7551,0.0631,-0.0883,0.1716,0.8919,0.3557,Class11
SIM_05516,Crop03,Class02,28.6894,0.5767,6.2271,101.4873,107.4587,129.9822,0.0639,0.0261,0.2754,0.595,0.5323,Class02
SIM_05517,Crop04,Class14,15.0896,0.4469,5.9388,56.42,122.5609,147.4459,0.0266,0.1951,0.2949,0.4529,0.4928,Class14
SIM_05518,Crop03,Class02,22.8518,0.5319,5.8509,116.2795,86.6838,157.7864,0.0524,0.1539,0.2068,0.7929,0.6439,Class02
SIM_05519,Crop02,Class10,36.1264,0.6341,7.035,91.6947,191.5578,208.6971,0.1175,-0.2185,0.1967,0.4058,0.5629,Class10
SIM_05520,Crop10,Class01,36.0165,0.3959,6.3768,76.0381,95.6055,177.0515,0.0691,0.1037,0.1471,0.5279,0.6269,Class01
SIM_05521,Crop02,Class13,24.3216,0.5086,6.5331,45.6784,184.4148,206.4197,0.0897,-0.2398,0.3474,0.5607,0.7383,Class13
SIM_05522,Crop08,Class11,20.1256,0.3852,5.2834,115.489,126.0828,165.0462,0.0687,0.1449,0.2502,0.761,0.468,Class11
SIM_05523,Crop08,Class13,24.1005,0.449,6.2042,41.4198,196.2065,126.9479,0.0811,-0.247,0.2244,0.6239,0.7261,Class13
SIM_05524,Crop07,Class14,27.4728,0.5718,5.8681,91.1385,146.4524,132.4524,0.0548,0.0668,0.3714,0.5362,0.4768,Class14
SIM_05525,Crop10,Class13,35.4492,0.2857,5.2638,37.5614,174.8963,147.0847,0.0733,-0.1926,0.2167,0.5185,0.8664,Class13
SIM_05526,Crop01,Class10,34.8603,0.6434,6.4442,18.5294,203.8165,166.0978,0.0966,-0.1565,0.2226,0.3281,0.503,Class10
SIM_05527,Crop04,Class13,13.4761,0.3558,6.1687,38.3571,166.3258,139.9889,0.0818,-0.2571,0.2385,0.6625,0.561,Class13
SIM_05528,Crop02,Class02,30.9843,0.6195,7.0935,109.0816,128.0403,190.7913,0.0426,-0.084,0.3136,0.7251,0.4455,Class02
SIM_05529,Crop06,Class10,27.6011,0.542,6.7524,76.7855,163.5213,211.9359,0.0845,0.1502,0.1987,0.2767,0.5947,Class10
SIM_05530,Crop07,Class15,9.5583,0.6227,5.3188,114.2208,153.0701,182.8849,0.0686,0.0207,0.1068,0.5585,0.598,Class15
SIM_05531,Crop09,Class06,30.2472,0.4383,6.733,68.7898,76.706,123.595,0.0786,0.0941,0.357,0.6996,0.3321,Class06
SIM_05532,Crop04,Class15,13.5915,0.5131,5.7165,146.0652,154.0404,173.4759,0.0257,0.1231,0.1167,0.3355,0.2714,Class15
SIM_05533,Crop03,Class08,30.4101,0.4551,6.4722,107.1167,107.6346,163.85,0.0874,-0.3998,0.0995,0.7027,0.6967,Class08
SIM_05534,Crop10,Class08,36.643,0.3596,5.6354,73.8021,118.7881,136.1636,0.0338,-0.4799,0.1015,0.7561,0.533,Class08
SIM_05535,Crop07,Class05,33.0993,0.6764,6.8576,110.109,181.9083,116.1007,0.0805,-0.3543,0.238,0.7162,0.6534,Class05
SIM_05536,Crop08,Class02,24.5634,0.5104,6.1946,105.678,123.5928,164.8752,0.0355,0.0324,0.3465,0.6798,0.4124,Class02
SIM_05537,Crop05,Class14,31.0833,0.4887,5.8326,60.3351,138.0219,186.5716,0.0449,0.0335,0.3195,0.4395,0.5804,Class14
SIM_05538,Crop05,Class11,23.4718,0.4785,5.8751,74.9382,118.9454,195.1359,0.1101,-0.1042,0.1689,0.6709,0.4269,Class11
SIM_05539,Crop04,Class07,25.4563,0.2763,4.7367,100.7868,132.6853,118.6736,0.0819,-0.2709,0.1247,0.5038,0.303,Class07
SIM_05540,Crop08,Class15,12.3184,0.4457,5.2148,116.4538,162.8274,198.6131,0.0533,0.2579,0.2358,0.6199,0.4053,Class15
SIM_05541,Crop03,Class03,26.4133,0.6181,6.2474,92.9879,106.3305,105.5475,0.0782,-0.1577,0.2706,0.7877,0.3977,Class03
SIM_05542,Crop10,Class12,36.2392,0.2708,5.0429,37.5839,150.2374,119.6721,0.0249,-0.4022,0.1412,0.4218,0.7425,Class12
SIM_05543,Crop02,Class07,26.7899,0.4493,5.57,84.5713,132.2773,151.7057,0.0973,-0.1865,0.2206,0.4552,0.3877,Class07
SIM_05544,Crop05,Class10,36.9074,0.5777,6.494,46.6208,197.2327,196.5703,0.0821,-0.1788,0.1417,0.4656,0.5494,Class10
SIM_05545,Crop04,Class01,29.7132,0.3873,6.261,152.6205,107.333,198.6306,0.0738,0.096,0.1516,0.6409,0.3007,Class01
SIM_05546,Crop07,Class10,31.2634,0.5534,6.6463,108.2856,200.1587,200.6835,0.1007,-0.2747,0.1318,0.3287,0.7473,Class10
SIM_05547,Crop07,Class11,20.906,0.5027,5.6694,115.5334,140.4266,196.5572,0.095,-0.0227,0.2074,0.7788,0.5453,Class11
SIM_05548,Crop10,Class15,14.9087,0.5617,4.814,86.2385,103.3792,179.9956,0.0391,0.3398,0.1085,0.462,0.5022,Class15
SIM_05549,Crop08,Class06,32.6232,0.3104,6.4583,74.3498,118.7355,181.1291,0.0778,0.2876,0.3859,0.7946,0.5383,Class06
SIM_05550,Crop03,Class02,33.8808,0.6294,6.2726,113.7536,90.4892,149.0354,0.0625,0.2116,0.3087,0.8218,0.638,Class02
SIM_05551,Crop03,Class01,23.0577,0.4611,6.5488,144.0161,99.2872,171.2678,0.1064,0.0088,0.148,0.5837,0.6827,Class01
SIM_05552,Crop09,Class03,27.5568,0.4842,6.6372,66.9239,103.3254,103.1717,0.0568,-0.1634,0.3328,0.804,0.2777,Class03
SIM_05553,Crop05,Class05,28.567,0.5803,5.2318,77.2144,185.1499,175.1686,0.0672,-0.4508,0.2328,0.81,0.5433,Class05
SIM_05554,Crop01,Class13,18.6853,0.5416,6.413,35.6827,199.8884,152.3064,0.0816,-0.443,0.368,0.4621,0.6321,Class13
SIM_05555,Crop09,Class03,34.2705,0.5182,6.3676,53.4242,100.5924,97.5852,0.0463,-0.1682,0.3759,0.8453,0.2349,Class03
SIM_05556,Crop07,Class03,27.1339,0.6595,6.9226,60.7494,133.9721,96.4881,0.0677,-0.1892,0.2889,0.8968,0.6303,Class03
SIM_05557,Crop01,Class01,32.5613,0.4058,6.8092,119.1054,105.9621,188.7936,0.1041,0.1032,0.2319,0.3956,0.23,Class01
SIM_05558,Crop08,Class06,28.1899,0.4304,6.7539,54.8789,107.7135,150.8554,0.076,-0.0081,0.3513,0.7006,0.3552,Class06
SIM_05559,Crop07,Class10,37.3494,0.6847,6.6544,107.3387,195.2061,194.0605,0.101,-0.2814,0.1815,0.6323,0.7996,Class10
SIM_05560,Crop07,Class05,16.3382,0.6509,6.1752,88.801,160.3784,137.1844,0.0634,-0.4722,0.1993,0.6289,0.7578,Class05
SIM_05561,Crop09,Class08,17.7495,0.5177,7.1285,110.4387,99.7686,177.2251,0.0765,-0.4121,0.1719,0.6028,0.3719,Class08
SIM_05562,Crop05,Class04,16.9131,0.551,5.0032,41.0253,166.8224,145.254,0.1036,-0.2078,0.244,0.8401,0.3515,Class04
SIM_05563,Crop05,Class13,24.0425,0.371,6.7232,37.5026,178.3657,179.708,0.1077,-0.4549,0.1665,0.7407,0.6917,Class13
SIM_05564,Crop07,Class01,28.823,0.5448,6.9089,159.0817,113.4829,196.9332,0.116,0.0873,0.1501,0.5681,0.7224,Class01
SIM_05565,Crop02,Class04,13.3624,0.5904,5.8823,43.504,164.4054,129.2966,0.0846,-0.1365,0.3654,0.8111,0.3017,Class04
SIM_05566,Crop02,Class09,14.1187,0.6012,5.508,126.2363,134.5671,145.6329,0.0529,0.1789,0.3093,0.5087,0.2888,Class09
SIM_05567,Crop09,Class13,23.1851,0.3173,6.1998,31.0649,165.7403,140.2088,0.101,-0.3291,0.3379,0.4215,0.7874,Class13
SIM_05568,Crop03,Class07,20.1224,0.5218,4.4969,133.3448,107.7952,125.7289,0.1112,-0.3213,0.1357,0.4952,0.5152,Class07
SIM_05569,Crop06,Class02,29.229,0.4234,6.7282,96.8583,115.3365,200.3801,0.0434,0.2203,0.3009,0.4674,0.2693,Class02
SIM_05570,Crop03,Class09,8.7777,0.5097,4.7136,127.4639,123.1396,123.395,0.0975,-0.0252,0.1539,0.4762,0.3252,Class09
SIM_05571,Crop03,Class05,23.7212,0.5549,5.1588,118.0421,146.1745,96.282,0.0653,-0.4104,0.2867,0.6793,0.771,Class05
SIM_05572,Crop06,Class05,31.0809,0.5512,5.8455,93.2343,146.7907,151.6135,0.0457,-0.2748,0.3373,0.5056,0.5565,Class05
SIM_05573,Crop09,Class14,22.009,0.3765,5.4879,92.5711,109.4496,112.1179,0.0644,0.2646,0.3806,0.3805,0.394,Class14
SIM_05574,Crop05,Class15,14.4562,0.5616,5.4845,70.6942,196.4631,182.3805,0.0695,0.0604,0.0964,0.5417,0.5145,Class15
SIM_05575,Crop02,Class04,12.7947,0.581,5.4964,96.9047,138.8929,146.1429,0.1067,-0.173,0.3381,0.7471,0.4516,Class04
SIM_05576,Crop03,Class09,8.7455,0.4947,4.638,130.4725,104.3637,145.4954,0.0899,-0.1985,0.1538,0.4522,0.4677,Class09
SIM_05577,Crop02,Class09,12.5433,0.5444,5.5374,119.907,173.3835,182.4291,0.0678,-0.1088,0.232,0.3699,0.2425,Class09
SIM_05578,Crop09,Class15,10.0537,0.5495,5.7003,104.6336,150.8697,140.8041,0.0574,0.1101,0.2535,0.3397,0.4299,Class15
SIM_05579,Crop04,Class15,6.4746,0.4376,5.8617,137.4035,186.2572,168.7373,0.0374,0.1494,0.1185,0.4804,0.3474,Class15
SIM_05580,Crop04,Class06,19.4268,0.321,6.4363,68.2876,87.1072,185.7698,0.0321,-0.1189,0.324,0.7055,0.6221,Class06
SIM_05581,Crop01,Class01,31.4068,0.4298,7.0341,89.7335,121.8065,179.7074,0.0948,0.1904,0.1861,0.3178,0.32,Class01
SIM_05582,Crop05,Class01,29.3617,0.5238,6.4313,109.939,128.1649,216.2371,0.0967,0.0469,0.1459,0.6365,0.2393,Class01
SIM_05583,Crop10,Class01,33.5522,0.3071,6.1146,63.8011,94.1478,188.4776,0.0675,0.0217,0.099,0.6182,0.398,Class01
SIM_05584,Crop05,Class12,23.3142,0.3447,5.4161,49.8503,146.0535,167.1696,0.073,-0.4724,0.2063,0.4606,0.7568,Class12
SIM_05585,Crop07,Class12,25.3167,0.4485,6.3086,96.859,140.4295,124.4248,0.0489,-0.3395,0.244,0.5583,0.817,Class12
SIM_05586,Crop02,Class13,22.1561,0.5064,6.5982,55.3189,190.8031,202.5978,0.0895,-0.383,0.339,0.6968,0.594,Class13
SIM_05587,Crop02,Class03,25.311,0.6246,6.8567,72.4634,159.0699,146.1778,0.052,0.1678,0.3668,0.694,0.369,Class03
SIM_05588,Crop08,Class01,25.1385,0.4499,6.6177,107.6276,113.0395,207.446,0.071,0.3455,0.2155,0.5884,0.3215,Class01
SIM_05589,Crop01,Class03,33.826,0.6451,6.9002,53.2737,171.3132,100.3689,0.0499,0.0719,0.3563,0.7636,0.3495,Class03
SIM_05590,Crop05,Class10,31.7719,0.6238,6.1735,40.8544,176.9335,202.9957,0.1342,-0.151,0.2271,0.6011,0.6262,Class10
SIM_05591,Crop04,Class01,27.3219,0.4311,7.0084,128.09,104.509,207.1587,0.0571,0.2128,0.1552,0.4616,0.2668,Class01
SIM_05592,Crop01,Class10,31.9419,0.6712,6.6143,44.9285,199.3691,182.3631,0.0976,0.0466,0.2583,0.341,0.4835,Class10
SIM_05593,Crop06,Class14,23.0961,0.4071,5.3129,126.0382,119.2848,170.8827,0.0194,0.1648,0.3023,0.3721,0.4435,Class14
SIM_05594,Crop10,Class03,40.3869,0.5498,5.8062,49.0913,111.7673,105.7316,0.0193,-0.1457,0.2179,0.8392,0.328,Class03
SIM_05595,Crop01,Class12,33.8869,0.4402,6.4578,52.7716,173.0954,117.0465,0.0563,-0.3946,0.3246,0.3781,0.5409,Class12
SIM_05596,Crop09,Class09,8.6803,0.449,5.0783,125.4924,110.9142,132.3589,0.0774,-0.1361,0.1975,0.4085,0.1241,Class09
SIM_05597,Crop06,Class15,11.3052,0.5099,5.6101,137.9838,146.6452,205.4591,0.0339,0.3337,0.1171,0.2704,0.4825,Class15
SIM_05598,Crop08,Class04,12.2901,0.4729,5.5957,73.5661,145.6559,112.3528,0.0873,-0.0218,0.3347,0.7557,0.4239,Class04
SIM_05599,Crop01,Class04,18.5468,0.5377,4.9955,46.3382,138.9845,119.3768,0.1184,-0.0891,0.3847,0.5068,0.3805,Class04
SIM_05600,Crop09,Class01,27.6561,0.2614,6.6418,133.9041,84.3075,197.0412,0.0924,0.0813,0.1812,0.5018,0.2776,Class01
SIM_05601,Crop01,Class11,19.6267,0.4998,5.2206,121.6804,184.1301,175.7574,0.1187,0.1625,0.3248,0.4748,0.3207,Class11
SIM_05602,Crop10,Class14,29.4577,0.344,4.7062,39.419,135.22,149.8581,0.0233,0.348,0.2273,0.338,0.4229,Class14
SIM_05603,Crop07,Class01,21.1688,0.5883,6.5365,135.4342,112.057,184.4449,0.0932,-0.2539,0.1125,0.6776,0.4298,Class01
SIM_05604,Crop04,Class08,12.4651,0.4763,6.9482,111.5007,110.221,180.2897,0.0214,-0.4847,0.1514,0.6908,0.3465,Class08
SIM_05605,Crop01,Class11,13.8938,0.4691,5.6808,101.5704,123.1772,162.9949,0.0994,-0.0629,0.2701,0.4539,0.2844,Class11
SIM_05606,Crop07,Class12,28.2319,0.4132,5.3217,94.7398,142.9094,151.305,0.0334,-0.4472,0.1444,0.4193,0.8021,Class12
SIM_05607,Crop01,Class14,23.1711,0.4572,5.631,61.2554,155.9659,149.3024,0.042,0.0548,0.4145,0.2866,0.2847,Class14
SIM_05608,Crop07,Class11,23.7533,0.4673,4.8108,89.0148,129.9897,180.0298,0.116,-0.1152,0.1902,0.7798,0.4635,Class11
SIM_05609,Crop08,Class14,15.3713,0.53,5.504,104.0146,179.0251,164.7292,0.0369,0.0613,0.3893,0.6003,0.5275,Class14
SIM_05610,Crop03,Class15,13.6742,0.5794,5.0486,147.4482,155.4599,176.8841,0.0384,0.1991,0.131,0.3376,0.6323,Class15
SIM_05611,Crop03,Class14,15.2481,0.5358,4.6915,67.4342,124.3662,152.459,0.0493,0.0621,0.291,0.6242,0.7208,Class14
SIM_05612,Crop03,Class07,15.3,0.4176,4.4796,138.6755,83.9963,117.2805,0.1293,-0.1527,0.1162,0.4664,0.5103,Class07
SIM_05613,Crop03,Class07,18.0841,0.5518,4.7225,104.7094,104.3261,143.2857,0.1129,-0.2998,0.1171,0.4007,0.469,Class07
SIM_05614,Crop02,Class07,21.2098,0.4553,5.9198,99.2014,139.7127,183.9269,0.1097,-0.308,0.2372,0.6344,0.421,Class07
SIM_05615,Crop03,Class15,7.6508,0.5827,4.8075,134.3376,128.9813,177.4075,0.0852,0.0285,0.204,0.4163,0.5866,Class15
SIM_05616,Crop07,Class05,31.5051,0.6841,6.1129,115.1302,169.4887,113.0399,0.0681,-0.4485,0.2564,0.7124,0.624,Class05
SIM_05617,Crop04,Class12,25.1238,0.2483,6.2591,63.9441,137.8863,110.6535,0.036,-0.3865,0.1777,0.4379,0.5398,Class12
SIM_05618,Crop08,Class10,24.439,0.6307,5.9888,95.4137,205.0132,168.249,0.0989,-0.1193,0.2245,0.348,0.7295,Class10
SIM_05619,Crop09,Class01,26.7764,0.5112,6.2143,122.9481,90.4817,194.4506,0.1054,0.2042,0.2066,0.5,0.2068,Class01
SIM_05620,Crop08,Class08,25.5001,0.5638,6.2316,123.2816,114.8036,192.3888,0.0448,-0.2792,0.1695,0.7846,0.4571,Class08
SIM_05621,Crop06,Class03,32.8115,0.5884,6.7186,110.1966,139.4116,166.785,0.0258,0.0742,0.3623,0.6179,0.4251,Class03
SIM_05622,Crop04,Class11,14.5698,0.2994,5.5935,127.7567,133.4876,193.9975,0.1041,0.2935,0.165,0.6146,0.4363,Class11
SIM_05623,Crop10,Class07,32.2439,0.2515,4.8298,44.8202,89.9245,134.7651,0.0948,-0.3087,0.1117,0.5409,0.39,Class07
SIM_05624,Crop03,Class06,25.4427,0.4891,5.6886,98.1768,95.3742,177.1838,0.0878,-0.1152,0.2096,0.598,0.6203,Class06
SIM_05625,Crop05,Class01,32.1411,0.4401,6.3272,98.1519,95.6217,193.3584,0.1035,0.1006,0.1037,0.6893,0.4587,Class01
SIM_05626,Crop05,Class02,35.3984,0.6265,6.6411,88.4191,140.2594,172.1112,0.0438,0.1044,0.1787,0.8053,0.3722,Class02
